Year,Gender,Race/Ethnicity,LEP Status,LEP Numeric,Economically Disadvantaged Status,ED Numeric,Language Code,English Language Proficiency Level,ELPL Numeric,Primary Disability Type,ELA Scale Score,ELA Achievement Level,ELA AL ,Math Scale Score,Math Achievement Level,Math AL ,Concepts and Procedures Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Communicating Reasoning Claim Achievement Category,Fall RIT,Fall %ile,Typical RIT Growth Points,Tiered RIT Growth Points,Winter GOAL Score,Spring GOAL Score,Winter RIT,Winter %ile,BOY to Winter Growth,Met Winter goal?,Met Winter Goal Numeric,Spring RIT,Spring %ile,BOY to Spring RIT Growth,Winter to Spring RIT Growth ,Met Spring Goal?,Met Spring Goal Numeric 
2017,M,Asian,N,0,N,0,ENG,NA,6,NA,2443,Standard Nearly Met,2,2510,Standard Nearly Met,2,Near Standard,Below Standard,Near Standard,199,33,7,11,204,210,200,27,1,No,0,212,51,13,12,Yes,1
2017,M,Asian,N,0,N,0,PAN,EARLY ADVANCED,4,NA,2500,Standard Nearly Met,2,2545,Standard Met,3,Above Standard,Near Standard,Near Standard,202,40,7,11,207,213,211,56,9,Yes,1,217,64,15,6,Yes,1
2017,M,Hispanic or Latino,N,0,N,0,PHI,NA,6,NA,2551,Standard Met,3,2634,Standard Exceeded,4,Above Standard,Above Standard,Above Standard,213,69,5,8,217,221,218,73,5,Yes,1,225,82,12,7,Yes,1
2017,F,Hispanic or Latino,Y,1,Y,1,SPA,ADVANCED,5,NA,2653,Standard Exceeded,4,2638,Standard Exceeded,4,Above Standard,Above Standard,Above Standard,227,92,3,4,229,231,225,86,-2,No,0,233,93,6,8,Yes,1
2017,F,Hispanic or Latino,Y,1,N,0,SPA,ADVANCED,5,NA,2606,Standard Exceeded,4,2599,Standard Exceeded,4,Above Standard,Above Standard,Near Standard,216,75,5,6,219,222,228,90,12,Yes,1,230,90,14,2,Yes,1
2017,F,Hispanic or Latino,N,0,N,0,SPA,NA,6,NA,2617,Standard Exceeded,4,2669,Standard Exceeded,4,Above Standard,Above Standard,Above Standard,224,89,3,4,226,228,233,95,9,Yes,1,229,88,5,-4,Yes,1
2017,M,Hispanic or Latino,N,0,Y,1,SPA,NA,6,NA,2584,Standard Exceeded,4,2635,Standard Exceeded,4,Above Standard,Above Standard,Near Standard,219,81,4,5,222,224,230,92,11,Yes,1,231,91,12,1,Yes,1
2017,M,Hispanic or Latino,Y,1,Y,1,SPA,EARLY ADVANCED,4,NA,2523,Standard Met,3,2619,Standard Exceeded,4,Above Standard,Near Standard,Above Standard,208,56,6,9,213,217,207,45,-1,No,0,223,78,15,16,Yes,1
2017,F,Hispanic or Latino,Y,1,Y,1,SPA,EARLY ADVANCED,4,NA,2534,Standard Met,3,2582,Standard Exceeded,4,Above Standard,Near Standard,Near Standard,208,56,6,9,213,217,221,79,13,Yes,1,220,72,12,-1,Yes,1
2017,M,Hispanic or Latino,N,0,N,0,SPA,NA,6,NA,2553,Standard Met,3,2602,Standard Exceeded,4,Above Standard,Above Standard,Near Standard,211,64,5,8,215,219,223,83,12,Yes,1,219,69,8,-4,Yes,1
